Current,Name,Rank,Department,Citation,PhD_School,PhD_Major,MA_School,MA_Major,BA_School,BA_Major,BA_Country,USA or Not
Columbia,Mabel Abraham,Associate,Management Division,471,MIT,Management,,,Providence College,Mathematics,USA,USA
Columbia,Eric Abrahamson,Full,Management Division,21255,NYU,Management,,,Haverford College ,"Sociology, Anthropology and Philosophy",USA,USA
Columbia,Modupe Akinola,Full,Management Division,4097,Harvard,Orgnizational Behavior,,,Harvard,Psychology,USA,USA
Columbia,Daniel Ames,Full,Management Division,,Berkeley,Social and Personality Psychology,,,Beloit College,English and Economics,USA,USA
Columbia,Joel Brockner,Full,Management Division,34632,Tufts,Personality and social psychology,,,SUNY,Psychology,UAS,Non-USA
Columbia,Derek Brown,Assistant,Management Division,174,Berkeley,Management of Organizations,Portland State University,Industiral orgnizational psychology,Rice ,Psychology,USA,USA
Columbia,Vanessa Burbano,Associate,Management Division,"	3379",UCLA,Strategy,Princeton,Public Affairs,UPENN,Economics and International Relations,USA,USA
Columbia,Bo Cowgill,Assistant,Management Division,2133,Berkeley,Business and Public Policy,,,Stanford,Public Policy,USA,USA
Columbia,Shai Davidai,Assistant,Management Division,1552,Cornell,Social and Personality Psychology,,,The Hebrew University,Psychology and Cognitive Science,Israel,Non-USA
Columbia,Adam Galinsky,Full,Management Division,60920,Princeton,Social Psychology,,,Harvard,Psychology,USA,USA
Columbia,Jorge Guzman,Associate,Management Division,1545,MIT,Entrepreneurship and Strategic Management,,,Instituto Tecnol?gico y de Estudios Superiores de Monterrey,Computer Engineering,Mexico,Non-USA
Columbia,Kathryn Harrigan,Full,Management Division,16383,Harvard,,University of Texas Austin,,Macalester College,,USA,USA
Columbia,E. Tory Higgins,Full,Management Division,124939,McGill University,Sociology and Anthropology,London School of Economics,Social Psychology,Columbia,Psychology,USA,USA
Columbia,Paul Ingram,Full,Management Division,21384,Cornell,Orgnizational Behavior,,,Brock University,Accounting,Canada,Non-USA
Columbia,Sheena Iyengar,Full,Management Division,19072,Stanford,Psychology,,,UPENN,"Psychology, English, Economics",USA,USA
Columbia,Daniel Keum,Associate,Management Division,322,NYU,Management and Organizations,,,Dartmouth,Economics and Mathmatics,USA,USA
Columbia,Soomi Kim,Assistant,Management Division,26,MIT,,,,Wellesley College,Economics and English,USA,USA
Columbia,Bruce Kogut,Full,Management Division,91477,MIT,,Columbia,International Affairs,Berkely,Political Science,USA,USA
Columbia,Malia Mason,Full,Management Division,7617,Dartmouth,Psychology,,,Rice ,Psychology,USA,USA
Columbia,Sandra Matz,Associate,Management Division,4814,Cambridge,Psychology,,,Albert-Ludwigs-University Freiburg,Psychology,Germany,Non-USA
Columbia,Michael Mauskapf,Assistant,Management Division,"500	",Northwestern; University of Michigan,Management and Organizations; Musicology,,,UPENN,Music,USA,USA
Columbia,Stephan Meier,Full,Management Division,17698,Zurich,Economics,,,,,,
Columbia,Michael Morris,Full,Management Division,29017,University of Michigan,Social Psychology,,,Brown,Cognitive Science and English Literature,USA,USA
Columbia,Rebecca Ponce de Leon,Assistant,Management Division,318,Duke,Management and Organizations,,,Duke,Psychology,USA,USA
Columbia,Michael Slepian,Associate,Management Division,3391,Tufts,Experimental Psychology,,,Syracuse,Psychology and Neuroscience,USA,USA
Columbia,Adina D. Sterling,Associate,Management Division,796,Emory,Organization and Management,,,Ohio State University,Cheminal Engineering and Economics,USA,USA
Columbia,Dan Wang,Associate,Management Division,2095,Stanford,Sociology,,,Columbia,Sociology and comparative literature,USA,USA
Columbia,Nataliya L. Wright,Assistant,Management Division,24,Harvard,Strategy,Cambridge,International Relations and Politics,Yale,Economics and Global Affairs,USA,USA
Columbia,Lori Yue,Associate,Management Division,,Columbia,Management,Peking University,Economics,Renmin University of China,Economics,China,Non-USA
Columbia,Santiago Balseiro,Associate,"Decision, Risk, and Operations Division",,Columbia,"Decision, Risk, and Operations",,,Universidad de Buenos Aires,Industrial Engineering,Argentina,Non-USA
Columbia,Omar Besbes,Full,"Decision, Risk, and Operations Division",3794,Columbia,"Decision, Risk, and Operations",Stanford,Aeronautics and Astronautics,Ing??enieur de l??Ecole Polytechniqu,Applied mathmatics and mechanical engineering,France,Non-USA
