URL,Name,Citation,Department,Title,Edu1,Edu2,Edu3,PhD_School,PhD_Major,BA_School,BA_Country,US or Not,Rank,Current
https://www.gsb.stanford.edu/faculty-research/faculty/jennifer-aaker,Jennifer Aaker,43768,Marketing,The General Atlantic Professor,"PhD in Marketing, PhD Minor in Psychology, Stanford Graduate School of Business, 1995","BA in Psychology, University of California, Berkeley, 1989","General Atlantic Chair, 2005-present",Stanford,Marketing,Berkeley,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/anat-r-admati,Anat R. Admati,19174,Finance,The George G.C. Parker Professor of Finance and Economics,"PhD, Yale University, 1983","MA, Yale University, 1981","BSc, Hebrew University, Jerusalem, 1979",Yale,,Hebrew University,Jerusalem,Non-USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/ada-aka,Ada Aka,403,Marketing,Assistant Professor of Marketing,"PhD in Marketing and Psychology, The Wharton School, 2023","BA in Psychology, Minor: Neuroscience, Certificate: Markets & Management; Duke University; 2016",,UPENN,Marketing and Psychology,Duke,USA,USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/mohammad-akbarpour,Mohammad Akbarpour,1056,Economics,Associate Professor of Economics,"PhD in Economics, Stanford University, 2015","MS in Economics, Stanford University, 2014","BS in Electrical Engineering; Sharif University of Technology, Iran; 2009",Stanford,Economics,Sharif University of Technology,Iran,Non-USA,Associate,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/claudia-allende-santa-cruz,Claudia Allende Santa Cruz,148,Economics,Assistant Professor of Economics,"PhD, Economics and Education, Columbia University, 2020","MA, Economics, Universidad Catolica de Chile, 2012","BA, Business and Economics, Universidad Catolica de Chile, 2011",Columbia,Economics and Education,Universidad Catolica de Chile,Chile,Non-USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/christopher-s-armstrong,Christopher S. Armstrong,11677,Accounting,The Joan E. Horngren Professor of Accounting,"PhD in Accounting, Stanford Graduate School of Business, 2008","MPA in Accounting, The University of Texas at Austin, 2000","BS in Commerce, University of Virginia, 1999",Stanford,Accounting,University of Virginia,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/susan-athey,Susan Athey,37491,Economics,The Economics of Technology Professor,"PhD, Economics, Stanford Graduate School of Business, 1995","BA, Economics, Computer Science, and Mathematics, Duke University, 1991",,Stanford,Economics,Duke,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/jon-atwell,Jon Atwell,350,Organizational Behavior,Assistant Professor of Organizational Behavior,"PhD, Sociology, University of Michigan, 2017","BS, Math, Economics and Philosophy, University of Wisconsin-Madison, 2007",,University of Michigan,Sociology,University of Wisconsin,USA,USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/william-barnett,William P. Barnett,13529,Organizational Behavior,"The Thomas M. Siebel Professor of Business Leadership, Strategy, and Organizations","PhD in Business Administration, University of California, Berkeley, 1988","BA in Political Science and Economics, University of California, Berkeley, 1982",,Berkeley,Business Administration,Berkeley,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/mohsen-bayati,Mohsen Bayati,6079,"Operations, Information & Technology","Professor of Operations, Information & Technology",,,,Stanford,Electrical Engineering,Sharif University of Technology,Iran,Non-USA,Full,Stanford
